id,Image,Hurricane,Damage,OnLineC,LinesC
5757,I1,H3,0,-0.5,-0.5
5757,I2,H3,0,-0.5,-0.5
5757,I3,H3,0,-0.5,-0.5
5757,I4,H3,0,-0.5,-0.5
5757,I5,H3,0,0.5,-0.5
5757,I6,H3,0,0.5,-0.5
5757,I7,H3,0,0.5,-0.5
5757,I8,H3,0,0.5,-0.5
5757,I9,H3,0,-0.5,0.5
5757,I10,H3,0,-0.5,0.5
5757,I11,H3,0,-0.5,0.5
5757,I12,H3,0,-0.5,0.5
5757,I13,H3,0,0.5,0.5
5757,I14,H3,0,0.5,0.5
5757,I15,H3,0,0.5,0.5
5757,I16,H3,0,0.5,0.5
5757,I17,H1,0,-0.5,-0.5
5757,I18,H1,0,-0.5,-0.5
5757,I19,H1,0,-0.5,-0.5
5757,I20,H1,0,-0.5,-0.5
5757,I21,H1,0,0.5,-0.5
5757,I22,H1,0,0.5,-0.5
5757,I23,H1,0,0.5,-0.5
5757,I24,H1,0,0.5,-0.5
5757,I25,H1,0,-0.5,0.5
5757,I26,H1,0,-0.5,0.5
5757,I27,H1,0,-0.5,0.5
5757,I28,H1,0,-0.5,0.5
5757,I29,H1,0,0.5,0.5
5757,I30,H1,0,0.5,0.5
5757,I31,H1,0,0.5,0.5
5757,I32,H1,0,0.5,0.5
5968,I1,H3,0,-0.5,-0.5
5968,I2,H3,0,-0.5,-0.5
5968,I3,H3,0,-0.5,-0.5
5968,I4,H3,1,-0.5,-0.5
5968,I5,H3,0,0.5,-0.5
5968,I6,H3,0,0.5,-0.5
5968,I7,H3,0,0.5,-0.5
5968,I8,H3,0,0.5,-0.5
5968,I9,H3,0,-0.5,0.5
5968,I10,H3,1,-0.5,0.5
5968,I11,H3,0,-0.5,0.5
5968,I12,H3,0,-0.5,0.5
5968,I13,H3,0,0.5,0.5
5968,I14,H3,0,0.5,0.5
5968,I15,H3,0,0.5,0.5
5968,I16,H3,0,0.5,0.5
5968,I17,H1,0,-0.5,-0.5
5968,I18,H1,0,-0.5,-0.5
5968,I19,H1,0,-0.5,-0.5
5968,I20,H1,0,-0.5,-0.5
5968,I21,H1,0,0.5,-0.5
5968,I22,H1,0,0.5,-0.5
5968,I23,H1,0,0.5,-0.5
5968,I24,H1,0,0.5,-0.5
5968,I25,H1,0,-0.5,0.5
5968,I26,H1,0,-0.5,0.5
5968,I27,H1,1,-0.5,0.5
5968,I28,H1,1,-0.5,0.5
5968,I29,H1,0,0.5,0.5
5968,I30,H1,0,0.5,0.5
5968,I31,H1,0,0.5,0.5
5968,I32,H1,0,0.5,0.5
5971,I1,H3,0,-0.5,-0.5
5971,I2,H3,0,-0.5,-0.5
5971,I3,H3,0,-0.5,-0.5
5971,I4,H3,0,-0.5,-0.5
5971,I5,H3,0,0.5,-0.5
5971,I6,H3,0,0.5,-0.5
5971,I7,H3,0,0.5,-0.5
5971,I8,H3,0,0.5,-0.5
5971,I9,H3,0,-0.5,0.5
5971,I10,H3,0,-0.5,0.5
5971,I11,H3,0,-0.5,0.5
5971,I12,H3,1,-0.5,0.5
5971,I13,H3,0,0.5,0.5
5971,I14,H3,0,0.5,0.5
5971,I15,H3,0,0.5,0.5
5971,I16,H3,0,0.5,0.5
5971,I17,H1,0,-0.5,-0.5
5971,I18,H1,0,-0.5,-0.5
5971,I19,H1,0,-0.5,-0.5
5971,I20,H1,0,-0.5,-0.5
5971,I21,H1,0,0.5,-0.5
5971,I22,H1,0,0.5,-0.5
5971,I23,H1,0,0.5,-0.5
5971,I24,H1,0,0.5,-0.5
5971,I25,H1,0,-0.5,0.5
5971,I26,H1,0,-0.5,0.5
5971,I27,H1,0,-0.5,0.5
5971,I28,H1,0,-0.5,0.5
5971,I29,H1,0,0.5,0.5
5971,I30,H1,0,0.5,0.5
5971,I31,H1,1,0.5,0.5
5971,I32,H1,0,0.5,0.5
6037,I1,H3,0,-0.5,-0.5
6037,I2,H3,0,-0.5,-0.5
6037,I3,H3,0,-0.5,-0.5
6037,I4,H3,0,-0.5,-0.5
6037,I5,H3,0,0.5,-0.5
6037,I6,H3,0,0.5,-0.5
6037,I7,H3,0,0.5,-0.5
6037,I8,H3,0,0.5,-0.5
6037,I9,H3,0,-0.5,0.5
6037,I10,H3,0,-0.5,0.5
6037,I11,H3,1,-0.5,0.5
6037,I12,H3,0,-0.5,0.5
6037,I13,H3,0,0.5,0.5
6037,I14,H3,0,0.5,0.5
6037,I15,H3,0,0.5,0.5
6037,I16,H3,0,0.5,0.5
6037,I17,H1,1,-0.5,-0.5
6037,I18,H1,0,-0.5,-0.5
6037,I19,H1,0,-0.5,-0.5
6037,I20,H1,0,-0.5,-0.5
6037,I21,H1,0,0.5,-0.5
6037,I22,H1,0,0.5,-0.5
6037,I23,H1,0,0.5,-0.5
6037,I24,H1,0,0.5,-0.5
6037,I25,H1,0,-0.5,0.5
6037,I26,H1,0,-0.5,0.5
6037,I27,H1,0,-0.5,0.5
6037,I28,H1,0,-0.5,0.5
6037,I29,H1,0,0.5,0.5
6037,I30,H1,1,0.5,0.5
6037,I31,H1,0,0.5,0.5
6037,I32,H1,0,0.5,0.5
6038,I1,H3,1,-0.5,-0.5
6038,I2,H3,1,-0.5,-0.5
6038,I3,H3,1,-0.5,-0.5
6038,I4,H3,0,-0.5,-0.5
6038,I5,H3,0,0.5,-0.5
6038,I6,H3,1,0.5,-0.5
6038,I7,H3,0,0.5,-0.5
6038,I8,H3,0,0.5,-0.5
6038,I9,H3,1,-0.5,0.5
6038,I10,H3,0,-0.5,0.5
6038,I11,H3,0,-0.5,0.5
6038,I12,H3,1,-0.5,0.5
6038,I13,H3,0,0.5,0.5
6038,I14,H3,0,0.5,0.5
6038,I15,H3,0,0.5,0.5
6038,I16,H3,0,0.5,0.5
6038,I17,H1,1,-0.5,-0.5
6038,I18,H1,1,-0.5,-0.5
6038,I19,H1,0,-0.5,-0.5
6038,I20,H1,1,-0.5,-0.5
6038,I21,H1,0,0.5,-0.5
6038,I22,H1,0,0.5,-0.5
6038,I23,H1,1,0.5,-0.5
6038,I24,H1,0,0.5,-0.5
6038,I25,H1,1,-0.5,0.5
6038,I26,H1,1,-0.5,0.5
6038,I27,H1,1,-0.5,0.5
6038,I28,H1,1,-0.5,0.5
6038,I29,H1,0,0.5,0.5
6038,I30,H1,0,0.5,0.5
6038,I31,H1,0,0.5,0.5
6038,I32,H1,0,0.5,0.5
6215,I1,H3,0,-0.5,-0.5
6215,I2,H3,0,-0.5,-0.5
6215,I3,H3,1,-0.5,-0.5
6215,I4,H3,0,-0.5,-0.5
6215,I5,H3,0,0.5,-0.5
6215,I6,H3,1,0.5,-0.5
6215,I7,H3,0,0.5,-0.5
6215,I8,H3,0,0.5,-0.5
6215,I9,H3,1,-0.5,0.5
6215,I10,H3,0,-0.5,0.5
6215,I11,H3,0,-0.5,0.5
6215,I12,H3,1,-0.5,0.5
6215,I13,H3,0,0.5,0.5
6215,I14,H3,0,0.5,0.5
6215,I15,H3,0,0.5,0.5
6215,I16,H3,0,0.5,0.5
6215,I17,H1,1,-0.5,-0.5
6215,I18,H1,1,-0.5,-0.5
6215,I19,H1,1,-0.5,-0.5
6215,I20,H1,0,-0.5,-0.5
6215,I21,H1,0,0.5,-0.5
6215,I22,H1,0,0.5,-0.5
6215,I23,H1,0,0.5,-0.5
6215,I24,H1,0,0.5,-0.5
6215,I25,H1,0,-0.5,0.5
6215,I26,H1,0,-0.5,0.5
6215,I27,H1,0,-0.5,0.5
6215,I28,H1,0,-0.5,0.5
6215,I29,H1,0,0.5,0.5
6215,I30,H1,0,0.5,0.5
6215,I31,H1,0,0.5,0.5
6215,I32,H1,0,0.5,0.5
6318,I1,H3,0,-0.5,-0.5
6318,I2,H3,0,-0.5,-0.5
6318,I3,H3,0,-0.5,-0.5
6318,I4,H3,0,-0.5,-0.5
6318,I5,H3,0,0.5,-0.5
6318,I6,H3,0,0.5,-0.5
6318,I7,H3,0,0.5,-0.5
6318,I8,H3,0,0.5,-0.5
6318,I9,H3,0,-0.5,0.5
6318,I10,H3,0,-0.5,0.5
6318,I11,H3,0,-0.5,0.5
6318,I12,H3,0,-0.5,0.5
6318,I13,H3,0,0.5,0.5
6318,I14,H3,0,0.5,0.5
6318,I15,H3,0,0.5,0.5
6318,I16,H3,0,0.5,0.5
6318,I17,H1,0,-0.5,-0.5
6318,I18,H1,0,-0.5,-0.5
6318,I19,H1,0,-0.5,-0.5
6318,I20,H1,0,-0.5,-0.5
6318,I21,H1,0,0.5,-0.5
6318,I22,H1,0,0.5,-0.5
6318,I23,H1,0,0.5,-0.5
6318,I24,H1,0,0.5,-0.5
6318,I25,H1,0,-0.5,0.5
6318,I26,H1,0,-0.5,0.5
6318,I27,H1,0,-0.5,0.5
6318,I28,H1,0,-0.5,0.5
6318,I29,H1,0,0.5,0.5
6318,I30,H1,0,0.5,0.5
6318,I31,H1,0,0.5,0.5
6318,I32,H1,0,0.5,0.5
6455,I1,H3,0,-0.5,-0.5
6455,I2,H3,0,-0.5,-0.5
6455,I3,H3,0,-0.5,-0.5
6455,I4,H3,0,-0.5,-0.5
6455,I5,H3,0,0.5,-0.5
6455,I6,H3,0,0.5,-0.5
6455,I7,H3,0,0.5,-0.5
6455,I8,H3,0,0.5,-0.5
6455,I9,H3,0,-0.5,0.5
6455,I10,H3,0,-0.5,0.5
6455,I11,H3,0,-0.5,0.5
6455,I12,H3,0,-0.5,0.5
6455,I13,H3,0,0.5,0.5
6455,I14,H3,0,0.5,0.5
6455,I15,H3,0,0.5,0.5
6455,I16,H3,0,0.5,0.5
6455,I17,H1,0,-0.5,-0.5
6455,I18,H1,0,-0.5,-0.5
6455,I19,H1,0,-0.5,-0.5
6455,I20,H1,0,-0.5,-0.5
6455,I21,H1,0,0.5,-0.5
