"","id","Image","Hurricane","LineStrg","On Line","Lines","value","DamageC","OnLine"
"1",8329,"I1","H3","A","Off","1","Equal damage",0,1
"2",8263,"I1","H3","A","Off","1","B",0,1
"3",8372,"I1","H3","A","Off","1","A",1,1
"4",6767,"I1","H3","A","Off","1","A",1,1
"5",8519,"I1","H3","A","Off","1","B",0,1
"6",8281,"I1","H3","A","Off","1","A",1,1
"7",5971,"I1","H3","A","Off","1","B",0,1
"8",8554,"I1","H3","A","Off","1","B",0,1
"9",8536,"I1","H3","A","Off","1","A",1,1
"10",8108,"I1","H3","A","Off","1","Equal damage",0,1
"11",5766,"I1","H3","A","Off","1","Equal damage",0,1
"12",8556,"I1","H3","A","Off","1","B",0,1
"13",8103,"I1","H3","A","Off","1","B",0,1
"14",6402,"I1","H3","A","Off","1","B",0,1
"15",8312,"I1","H3","A","Off","1","Equal damage",0,1
"16",7699,"I1","H3","A","Off","1","A",1,1
"17",8577,"I1","H3","A","Off","1","A",1,1
"18",6035,"I1","H3","A","Off","1","A",1,1
"19",8404,"I1","H3","A","Off","1","Equal damage",0,1
"20",8290,"I1","H3","A","Off","1","B",0,1
"21",8470,"I1","H3","A","Off","1","B",0,1
"22",6781,"I1","H3","A","Off","1","A",1,1
"23",8446,"I1","H3","A","Off","1","Equal damage",0,1
"24",8659,"I1","H3","A","Off","1","B",0,1
"25",8361,"I1","H3","A","Off","1","Equal damage",0,1
"26",8654,"I1","H3","A","Off","1","Equal damage",0,1
"27",8350,"I1","H3","A","Off","1","B",0,1
"28",8393,"I1","H3","A","Off","1","B",0,1
"29",7548,"I1","H3","A","Off","1","A",1,1
"30",5927,"I1","H3","A","Off","1","Equal damage",0,1
"31",8389,"I1","H3","A","Off","1","B",0,1
"32",8328,"I1","H3","A","Off","1","A",1,1
"33",8216,"I1","H3","A","Off","1","B",0,1
"34",8552,"I1","H3","A","Off","1","B",0,1
"35",6942,"I1","H3","A","Off","1","B",0,1
"36",NA,"I1","H3","A","Off","1","",0,1
"37",8329,"I2","H3","B","Off","1","Equal damage",0,1
"38",8263,"I2","H3","B","Off","1","Equal damage",0,1
"39",8372,"I2","H3","B","Off","1","B",1,1
"40",6767,"I2","H3","B","Off","1","B",1,1
"41",8519,"I2","H3","B","Off","1","A",0,1
"42",8281,"I2","H3","B","Off","1","B",1,1
"43",5971,"I2","H3","B","Off","1","A",0,1
"44",8554,"I2","H3","B","Off","1","A",0,1
"45",8536,"I2","H3","B","Off","1","B",1,1
"46",8108,"I2","H3","B","Off","1","Equal damage",0,1
"47",5766,"I2","H3","B","Off","1","Equal damage",0,1
"48",8556,"I2","H3","B","Off","1","A",0,1
"49",8103,"I2","H3","B","Off","1","Equal damage",0,1
"50",6402,"I2","H3","B","Off","1","A",0,1
"51",8312,"I2","H3","B","Off","1","B",1,1
"52",7699,"I2","H3","B","Off","1","B",1,1
"53",8577,"I2","H3","B","Off","1","B",1,1
"54",6035,"I2","H3","B","Off","1","B",1,1
"55",8404,"I2","H3","B","Off","1","Equal damage",0,1
"56",8290,"I2","H3","B","Off","1","A",0,1
"57",8470,"I2","H3","B","Off","1","A",0,1
"58",6781,"I2","H3","B","Off","1","B",1,1
"59",8446,"I2","H3","B","Off","1","Equal damage",0,1
"60",8659,"I2","H3","B","Off","1","B",1,1
"61",8361,"I2","H3","B","Off","1","B",1,1
"62",8654,"I2","H3","B","Off","1","Equal damage",0,1
"63",8350,"I2","H3","B","Off","1","A",0,1
