"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","Q79","Q100_Browser","Q100_Version","Q100_Operating.System","Q100_Resolution","Q99","I1_H3_A_Off_1","I2_H3_B_Off_1","I3_H3_A_Off_1","I4_H3_B_Off_1","I5_H3_A_On_1","I6_H3_B_On_1","I7_H3_B_On_1","I8_H3_A_On_1","I9_H3_A_Off_2","I10_H3_B_Off_2","I11_H3_A_Off_2","I12_H3_B_Off_2","I13_H3_A_On_2","I14_H3_B_On_2","I15_H3_B_On_2","I16_H3_A_On_2","I17_H1_B_Off_1","I18_H1_A_Off_1","I19_H1_A_Off_1","I20_H1_B_Off_1","I21_H1_B_On_1","I22_H1_A_On_1","I23_H1_B_On_1","I24_H1_A_On_1","I25_H1_A_Off_2","I26_H1_B_Off_2","I27_H1_B_Off_2","I28_H1_A_Off_2","I29_H1_B_On_2","I30_H1_A_On_2","I31_H1_A_On_2","I32_H1_B_On_2","Strategy","Forecasts","Threats","Red_Dot","Larger","Variable","Hit","Q100","Q101","Age","Gender","Color_42","Color_5","Q126","id"
"1","3/25/2017 12:25","3/25/2017 12:36","IP Address","67.2.251.46",100,671,TRUE,"3/25/2017 12:36","R_7X0fgIlznCo47yp",NA,NA,NA,NA,40.65829468,-111.9231033,"anonymous","Yes","Safari","9.1.3","Macintosh","1280x800","Yes","Equal damage","Equal damage","B","Equal damage","Equal damage","Equal damage","B","A","Equal damage","Equal damage","A","Equal damage","Equal damage","Equal damage","B","A","B","B","Equal damage","Equal damage","B","A","Equal damage","Equal damage","B","A","Equal damage","Equal damage","B","A","Equal damage","B","My decision fluctuated. First, I was looking at which letter was lying on a blue line. Then I changed my mind and decided which is closest to the clump of blue lines.","No","No","Most damage to the water current.",FALSE,FALSE,FALSE,"Laptop","13 inch",23,"Female",42,"5","u0780416",8329
"2","3/26/2017 16:50","3/26/2017 16:56","IP Address","174.52.67.144",100,310,TRUE,"3/26/2017 16:56","R_1gj3R4MtK83PCt0",NA,NA,NA,NA,40.60920715,-111.881897,"anonymous","Yes","Chrome","56.0.2924.110","CrOS x86_64 9000.91.0","1366x768","Yes","B","Equal damage","B","A","A","B","B","A","A","B","A","A","A","Equal damage","B","A","A","B","A","Equal damage","B","Equal damage","B","A","B","A","A","A","B","A","A","B","The oil rig that had a blue line through it was determined to receive the most damage.","No","No","path of the hurricane",FALSE,TRUE,TRUE,"Laptop","12",22,"Male",42,"5","u00773239",8263
"3","3/26/2017 19:44","3/26/2017 19:50","IP Address","155.99.182.32",100,317,TRUE,"3/26/2017 19:50","R_DBqzDntSOfIf9pT",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Windows NT 10.0","1280x720","Yes","A","B","A","B","A","B","B","A","A","B","A","B","A","B","B","A","B","A","A","B","B","A","B","A","A","B","B","A","B","A","A","B","I chose the one that was closest to the most amount of lines ","No","No","level of danger",FALSE,FALSE,TRUE,"Laptop","normal ",19,"Female",42,"5","u0919543",8372
"4","3/27/2017 3:03","3/27/2017 3:09","IP Address","50.160.102.237",100,386,TRUE,"3/27/2017 3:09","R_2urJJ3A3bcFGybd",NA,NA,NA,NA,40.70869446,-111.7143021,"anonymous","Yes","Chrome","56.0.2924.87","Windows NT 10.0","1536x864","Yes","A","B","A","B","A","Equal damage","Equal damage","A","A","B","A","Equal damage","A","Equal damage","B","A","B","A","A","Equal damage","B","A","B","A","Equal damage","Equal damage","B","Equal damage","B","A","A","B","I made my decisions based on the proximity of the hurricane visualizations to the red dots, marking equal damage on visualizations that would appear to have been both equally damaged or undamaged.","No","No","Radius",FALSE,TRUE,TRUE,"Laptop","15",23,"Male",42,"5","u0904139",6767
"5","3/27/2017 9:55","3/27/2017 10:04","IP Address","67.166.74.250",100,586,TRUE,"3/27/2017 10:04","R_1hNnwnFUDWCcK8D",NA,NA,NA,NA,40.70869446,-111.7143021,"anonymous","Yes","Chrome","55.0.2883.105","CrOS armv7l 8872.76.0","1366x768","Yes","B","A","B","A","A","B","B","A","B","A","B","A","A","B","B","A","A","B","B","A","B","A","B","A","B","A","A","B","B","A","A","B","I put that the more lines an oil rig had running through it the more damage it would've sustained.","No","No","Wind that could be damaging.",FALSE,FALSE,FALSE,"Laptop","12x7 inch",21,"Male",48,"5","u0824556",8519
"6","3/27/2017 10:29","3/27/2017 10:38","IP Address","76.27.92.143",100,522,TRUE,"3/27/2017 10:38","R_3NI1GBVXaE5Wc6i",NA,NA,NA,NA,40.65609741,-111.8350983,"anonymous","Yes","Edge","14.14393","Windows NT 10.0","1920x1080","Yes","A","B","A","B","A","B","B","A","A","B","A","B","A","B","B","A","B","A","A","B","B","A","B","A","A","B","B","A","B","A","A","B","The oil rig closer to the epicenter of the hurricane will receive more damage because waves will be harsher.","No","No","Storms. Wind/rain",FALSE,FALSE,FALSE,"Desktop Computer","20x12",29,"Female",42,"5","u1122115",8281
"7","3/27/2017 13:32","3/27/2017 13:36","IP Address","155.98.164.38",100,270,TRUE,"3/27/2017 13:36","R_3m4wxYyLBSH8OUA",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Windows NT 6.1","1280x1024","Yes","B","A","B","A","A","B","B","A","B","A","B","A","A","B","B","A","A","B","B","A","B","A","B","A","B","A","A","B","B","A","A","B","I looked at which was closer to the main body of the hurricane, as well as including which dot had the most number of purple lines intersecting it. I depended on the number of lines crossing it more heavily than distance. ","No","No","Hurricane path",TRUE,TRUE,FALSE,"Desktop Computer","12x14",21,"Female",42,"5","u0759129",5971
"8","3/27/2017 13:54","3/27/2017 14:01","IP Address","155.99.230.145",100,454,TRUE,"3/27/2017 14:01","R_12z3LgeU8eC0cFC",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Safari","10.0.3","Macintosh","1280x800","Yes","B","A","B","A","A","B","B","A","B","A","B","A","A","B","B","A","A","B","B","A","B","A","B","A","B","A","A","B","B","A","A","B","I always chose the rig that was perfectly placed on one of the lines stretching out from the center of the hurricane.","No","No","The directions and areas in which the hurricane would reach.",FALSE,FALSE,TRUE,"Laptop","11"" by 7""",19,"Female",42,"5","u1085844",8554
"9","3/27/2017 14:08","3/27/2017 14:16","IP Address","155.99.164.242",100,512,TRUE,"3/27/2017 14:16","R_3KrwTfXj9vjVqc2",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Safari","10.0.2","Macintosh","1280x800","Yes","A","B","A","B","A","B","B","A","A","B","A","B","A","B","B","A","B","A","A","B","B","A","B","A","A","B","B","A","B","A","A","B","The way I decided whether a or b would receive more damage was by based on how far the points were from the concentration of the blue lines. Which ever dot was closer, I assumed would have more damage.","No","No","the intensity of the hurricane",FALSE,FALSE,FALSE,"Laptop","12 in. diagonal",19,"Female",42,"5","u0985979",8536
"10","3/27/2017 17:16","3/27/2017 17:21","IP Address","155.99.184.93",100,296,TRUE,"3/27/2017 17:21","R_DGJvubwVsJf3FZL",NA,NA,NA,NA,40.7855072,-111.736702,"anonymous","Yes","Chrome","56.0.2924.87","Windows NT 10.0","1366x768","Yes","Equal damage","Equal damage","Equal damage","B","A","B","Equal damage","Equal damage","A","B","A","Equal damage","Equal damage","Equal damage","B","A","B","A","A","Equal damage","B","A","B","Equal damage","Equal damage","B","B","Equal damage","B","A","Equal damage","B","I based it in which way the lines were going and which oil rig was closest.","No","No","wind?",TRUE,FALSE,FALSE,"Laptop","11x8",18,"Female",42,"5","",8108
