ResponseID,Hurricane,StartSize,Location,value,VisType,Encoding,Side,LocationAbs,change,VisTypeD
1,CH1,3,-659.828,2,Cone,Intensity,0,65.9828,-1,0
1,CH1,3,-520.917,3,Cone,Intensity,0,52.0917,0,0
1,CH1,3,-416.733,3,Cone,Intensity,0,41.6733,0,0
1,CH1,3,-277.822,3,Cone,Intensity,0,27.7822,0,0
1,CH1,3,-173.639,6,Cone,Intensity,0,17.3639,3,0
1,CH1,3,-69.456,4,Cone,Intensity,0,6.9456,1,0
1,CH1,3,69.456,6,Cone,Intensity,1,6.9456,3,0
1,CH1,3,173.639,6,Cone,Intensity,1,17.3639,3,0
1,CH1,3,277.822,8,Cone,Intensity,1,27.7822,5,0
1,CH1,3,416.733,7,Cone,Intensity,1,41.6733,4,0
1,CH1,3,520.917,7,Cone,Intensity,1,52.0917,4,0
1,CH1,3,659.828,9,Cone,Intensity,1,65.9828,6,0
1,CH1,5,-659.828,3,Cone,Intensity,0,65.9828,-2,0
1,CH1,5,-520.917,3,Cone,Intensity,0,52.0917,-2,0
1,CH1,5,-416.733,3,Cone,Intensity,0,41.6733,-2,0
1,CH1,5,-277.822,3,Cone,Intensity,0,27.7822,-2,0
1,CH1,5,-173.639,4,Cone,Intensity,0,17.3639,-1,0
1,CH1,5,-69.456,5,Cone,Intensity,0,6.9456,0,0
1,CH1,5,69.456,6,Cone,Intensity,1,6.9456,1,0
1,CH1,5,173.639,6,Cone,Intensity,1,17.3639,1,0
1,CH1,5,277.822,7,Cone,Intensity,1,27.7822,2,0
1,CH1,5,416.733,7,Cone,Intensity,1,41.6733,2,0
1,CH1,5,520.917,8,Cone,Intensity,1,52.0917,3,0
1,CH1,5,659.828,9,Cone,Intensity,1,65.9828,4,0
1,CH1,7,-659.828,2,Cone,Intensity,0,65.9828,-5,0
1,CH1,7,-520.917,3,Cone,Intensity,0,52.0917,-4,0
1,CH1,7,-416.733,4,Cone,Intensity,0,41.6733,-3,0
1,CH1,7,-277.822,4,Cone,Intensity,0,27.7822,-3,0
1,CH1,7,-173.639,6,Cone,Intensity,0,17.3639,-1,0
1,CH1,7,-69.456,5,Cone,Intensity,0,6.9456,-2,0
1,CH1,7,69.456,8,Cone,Intensity,1,6.9456,1,0
1,CH1,7,173.639,6,Cone,Intensity,1,17.3639,-1,0
1,CH1,7,277.822,7,Cone,Intensity,1,27.7822,0,0
1,CH1,7,416.733,7,Cone,Intensity,1,41.6733,0,0
1,CH1,7,520.917,9,Cone,Intensity,1,52.0917,2,0
1,CH1,7,659.828,9,Cone,Intensity,1,65.9828,2,0
1,CH3,3,-659.828,2,Cone,Intensity,0,65.9828,-1,0
1,CH3,3,-520.917,4,Cone,Intensity,0,52.0917,1,0
1,CH3,3,-416.733,4,Cone,Intensity,0,41.6733,1,0
1,CH3,3,-277.822,3,Cone,Intensity,0,27.7822,0,0
1,CH3,3,-173.639,3,Cone,Intensity,0,17.3639,0,0
1,CH3,3,-69.456,4,Cone,Intensity,0,6.9456,1,0
1,CH3,3,69.456,6,Cone,Intensity,1,6.9456,3,0
1,CH3,3,173.639,6,Cone,Intensity,1,17.3639,3,0
1,CH3,3,277.822,6,Cone,Intensity,1,27.7822,3,0
1,CH3,3,416.733,6,Cone,Intensity,1,41.6733,3,0
1,CH3,3,520.917,6,Cone,Intensity,1,52.0917,3,0
1,CH3,3,659.828,7,Cone,Intensity,1,65.9828,4,0
1,CH3,5,-659.828,2,Cone,Intensity,0,65.9828,-3,0
1,CH3,5,-520.917,3,Cone,Intensity,0,52.0917,-2,0
1,CH3,5,-416.733,3,Cone,Intensity,0,41.6733,-2,0
1,CH3,5,-277.822,3,Cone,Intensity,0,27.7822,-2,0
1,CH3,5,-173.639,3,Cone,Intensity,0,17.3639,-2,0
1,CH3,5,-69.456,4,Cone,Intensity,0,6.9456,-1,0
1,CH3,5,69.456,6,Cone,Intensity,1,6.9456,1,0
1,CH3,5,173.639,6,Cone,Intensity,1,17.3639,1,0
1,CH3,5,277.822,5,Cone,Intensity,1,27.7822,0,0
1,CH3,5,416.733,6,Cone,Intensity,1,41.6733,1,0
1,CH3,5,520.917,7,Cone,Intensity,1,52.0917,2,0
1,CH3,5,659.828,7,Cone,Intensity,1,65.9828,2,0
