"","id","Strategy","Forecasts","Threats","Red_Dot","Red_Dot_TEXT","Larger","Variable","Hit","Age","Gender","VisType","Encoding"
"1",119,"Generally, I followed what I assumed to be the predicted path of the hurricane to determine the diameter. I estimated the diameter based off the edge of the circle first coming in contact with the red dot. If the red dot was outside the predicted range, it'd need a larger diameter, which often resulted in my choosing the largest diameter circle.","2","2","3",NA,"1","2","2","19","2","Cone","Size"
"2",146,"I looked at both the map and the circles in my peripheral vision to see which ones matched the most","2","2","1",NA,"1","1","2","18","2","Cone","Size"
"3",168,"If it was close to the top of the blue I made it be the biggest it could if it was more toward the middle I chose based on the beginning size.","2","2","2",NA,"1","1","2","22","2","Cone","Size"
"4",86,"The blue shaded area indicating possible size as the hurricane moved as well as relative distance from the origin.","2","2","4","oil rig","1","2","2","30","1","Cone","Size"
"5",51,"if the dot was not in the highlighted area, then it would not effect the hurricane.","2","2","1",NA,"2","1","2","18","2","Cone","Size"
"6",59,"In all honesty i did it based of how big the hurricane would need to be when it gets to the dot.","2","2","4","Oil rig","2","2","2","23","1","Cone","Size"
"7",3,"I used the path to determin what it would look like and the dots inthe path were similar to the diameters of the choices so i just chose the one that was closest to the oil rig and picked the answer similar to the size of the path.","2","2","4",NA,"1","1","2","20","2","Cone","Size"
"8",114,"I tried to look at the approximate diameter of the hurricane as it began its path and estimate what the size might be as it continued. I tried to guess what the size would be if it went off the highlighted area and approached the red dot. I also used the projected size of the hurricane (the diameter at the end of the blue portion), to get an idea of what the size would end up as.","2","1","4","The position of the oil rig","1","1","2","23","1","Cone","Size"
"9",111,"Not sure I entirely understood it correctly. Just based my hurricane immediate size on the location in relation to the path I guess","2","2","1",NA,"1","1","1","44","1","Cone","Size"
"10",106,"Well at first I was confused and did it totally inaccurate. I apologize., But then I used the red dot to measure the distance from the red dot to the outside of the hurricane path and based my guesses off of that.","2","2","3",NA,"1","2","2","21","2","Cone","Size"
"11",177,"I eyeballed how large the highlighted are of the huricane was assuming that was its diameter at anygiven time. Thus I looked at the red dot relatively to where the center line of the huricane forcast is and geussed how large it would be.","2","2","4","where the oil rig was","1","2","1","18","2","Cone","Size"
"12",68,"I tried to determined the size of the initial circle. I then imagined lining up the larger circles in a row from smallest to largest. The circles that landed on the red dot was the letter that I choose.","2","2","1",NA,"1","1","1","19","2","Cone","Size"
"13",151,"I generally went with the size of the hurricane on path equal with the red dot and concluded that was the size it would be.","2","2","1",NA,"1","2","2","22","1","Cone","Size"
"14",98,"The red dot always stayed in the same kind of area, even though the shape of the hurricane was changing, the red dot wasn't. So as long as I kept in mind that it was all within one circle, I was good. /","2","2","4","An oil rig","2","1","1","19","1","Cone","Size"
"15",41,"The closer to the coast the hurricane is the larger the diameter would be.  If the dot was farther out into the ocean the hurricane would have less force and pressure.  If the dot was closer to where the hurricane originated it would be smaller and have less force.","2","2","1",NA,"1","1","2","21","1","Cone","Size"
"16",70,"I eliminated what was the obvious, which was the dots that were shown in the majority of the images had a rather large diameter. So I eliminated all the small diameter measures and looked at the larger measures.","2","2","1",NA,"1","2","2","20","2","Cone","Size"
"17",153,"I assumed the further the red dot, the bigger the hurricane diameter would be.","2","2","1",NA,"1","2","2","18","2","Cone","Size"
